CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,MeanBalance_Neighbors,Balance_to_Salary,IsHighCreditScore
804,Spain,1,33,7,76548.6,1,0,1,98453.45,0,97003.66209999999,0.7775026928696469,1
850,France,1,36,7,0.0,1,1,1,40812.9,0,17042.5668,0.0,1
582,Germany,1,41,6,70349.48,2,0,1,178074.04,0,101568.93130000001,0.3950552531112726,0
472,Spain,1,40,4,0.0,1,1,0,70154.22,0,18495.156199999998,0.0,0
465,France,0,51,8,122522.32,1,0,0,181297.65,1,117029.356,0.6758038187267252,0
556,France,0,61,2,117419.35,1,1,1,94153.83,0,119826.8759,1.2470879082889321,0
834,France,0,49,2,131394.56,1,0,0,194365.76,1,123493.6016,0.6760135323550178,1
660,Spain,0,61,5,155931.11,1,1,1,158338.39,0,130018.3564,0.9847903923338341,0
776,Germany,0,32,4,109421.13,2,1,1,126517.46,0,112553.41520000003,0.8648629614998475,1
829,Germany,0,27,9,112045.67,1,1,1,119708.21,1,117381.81470000003,0.9359820351333034,1
637,Germany,0,39,9,137843.8,1,1,1,117622.8,1,125863.7264,1.171903985417917,0
550,Germany,1,38,2,103391.38,1,0,1,90878.13,0,113344.29319999999,1.137680125238875,0
776,Germany,0,37,2,103769.22,2,1,0,194099.12,0,112541.04829999998,0.5346169801440618,1
698,Germany,1,44,10,116363.37,2,1,0,198059.16,0,119822.30829999998,0.5875152781861834,0
585,Germany,1,36,5,146050.97,2,0,0,86424.57,0,136135.25190000003,1.6899046196629075,0
788,France,0,33,5,0.0,2,0,0,116978.19,0,0.0,0.0,1
655,Germany,1,41,8,125561.97,1,0,0,164040.94,1,122806.9964,0.76542602458859,0
601,Germany,1,42,1,98495.72,1,1,0,40014.76,1,112510.04759999998,2.4614231992594915,0
619,France,1,43,1,125211.92,1,1,1,113410.49,0,127423.5323,1.1040496866763676,0
656,France,1,45,5,127864.4,1,1,0,87107.57,0,128100.07449999999,1.4678739416799058,0
725,Germany,1,19,0,75888.2,1,0,0,45613.75,0,102437.6391,1.6636767712198357,1
511,Spain,0,66,4,0.0,1,1,0,1643.11,1,41429.667100000006,0.0,0
614,France,1,51,4,40685.92,1,1,1,46775.28,0,35427.5118,0.8697981113504537,0
742,Germany,1,35,5,136857.0,1,0,0,84509.57,0,124563.42629999999,1.6194068978590488,1
687,Germany,0,27,9,152328.88,2,0,0,126494.82,0,131341.3667,1.2042206612044573,0
555,Spain,1,33,1,56084.69,2,0,0,178798.13,0,41094.6291,0.3136742891310489,0
684,Spain,1,56,8,78707.16,1,1,1,99398.36,0,98903.505,0.7918276334978415,0
603,Germany,1,26,4,109166.37,1,1,1,92840.67,0,114960.87679999998,1.1758337608532892,0
751,Germany,0,36,6,169831.46,2,1,1,27758.36,0,138099.329,6.117989031447411,1
581,Germany,0,34,1,101633.04,1,1,0,110431.51,0,113422.3772,0.9203181200898177,0
735,Germany,1,43,10,123180.01,2,1,1,196673.28,0,121095.63470000001,0.6263147880851527,1
661,Germany,0,35,5,150725.53,2,0,1,113656.85,0,132980.96860000002,1.3261339185986714,0
675,France,0,21,8,98373.26,1,1,0,18203.0,0,117042.32769999998,5.403936497473082,0
738,Germany,1,58,2,133745.44,4,1,0,28373.86,1,110861.498,4.713518938948069,1
813,France,1,29,6,0.0,1,1,0,33953.87,0,10215.0504,0.0,1
657,Spain,0,37,0,163607.18,1,0,1,44203.55,0,135436.2665,3.701138909908595,0
604,Germany,0,25,5,157780.84,2,1,1,58426.81,0,134316.6546,2.7004407661351677,0
519,France,1,36,9,0.0,2,0,1,145562.4,0,0.0,0.0,0
735,France,0,21,1,178718.19,2,1,0,22388.0,0,139027.3068,7.982410558756532,1
664,France,1,55,8,0.0,2,1,1,139161.64,0,1510.4515,0.0,0
678,France,0,32,9,0.0,1,1,1,148210.64,0,12638.035100000001,0.0,0
757,Spain,1,33,5,77253.22,1,0,1,194239.63,0,105507.0611,0.39771915896277726,1
416,Germany,0,41,10,122189.66,2,1,0,98301.61,0,121170.055,1.2429950740880633,0
665,France,0,34,1,96645.54,2,0,0,171413.66,0,109887.80599999995,0.5638114032953774,0
777,France,0,32,2,0.0,1,1,0,136458.19,1,12951.1527,0.0,1
543,France,0,36,3,0.0,2,0,0,26019.59,0,557.7639,0.0,0
506,France,0,34,4,90307.62,1,1,1,159235.29,0,106735.61349999999,0.567129641113844,0
493,France,0,46,4,0.0,2,1,0,1907.66,0,2841.0824,0.0,0
652,Spain,0,75,10,0.0,2,1,1,114675.75,0,15858.667099999999,0.0,0
750,Spain,1,22,3,121681.82,1,1,0,128643.35,1,119214.5526,0.9458776852617313,1
729,France,1,30,9,0.0,2,1,0,151869.35,0,395.3939,0.0,1
646,France,0,46,4,0.0,3,1,0,93251.42,1,4536.2334,0.0,0
635,Germany,0,28,3,81623.67,2,1,1,156791.36,0,104845.879,0.520584485111392,0
647,Spain,0,44,5,0.0,3,1,1,174205.22,1,5396.6252,0.0,0
808,France,1,45,7,118626.55,2,1,0,147132.46,0,119158.79570000002,0.8062513448674422,1
524,France,0,36,10,0.0,2,1,0,109614.57,0,0.0,0.0,0
769,France,1,29,8,0.0,2,1,1,172290.61,0,395.3939,0.0,1
730,Spain,1,42,4,0.0,2,0,1,85982.47,0,1124.3428,0.0,1
515,Spain,1,35,10,176273.95,1,0,1,121277.78,0,136745.79460000002,1.45346077854675,0
773,Spain,1,41,9,102827.44,1,0,1,64595.25,0,110641.521,1.591848443214583,1
814,Germany,1,29,8,97086.4,2,1,1,197276.13,0,115308.9507,0.49213205808498933,1
710,Spain,1,22,8,0.0,2,0,0,99645.04,0,755.375,0.0,1
413,France,1,34,9,0.0,2,0,0,6534.18,0,2501.2637,0.0,0
665,France,0,40,6,0.0,1,1,1,161848.03,0,5965.9644,0.0,0
623,France,0,44,6,0.0,2,0,0,167162.43,0,0.0,0.0,0
738,France,1,31,9,82674.15,1,1,0,41970.72,0,106871.35980000002,1.9697584468780405,1
528,Spain,1,36,7,0.0,2,1,0,60536.56,0,1485.1397,0.0,0
670,Spain,0,65,1,0.0,1,1,1,177655.68,1,30172.071000000007,0.0,0
622,Spain,0,46,4,107073.27,2,1,1,30984.59,1,117092.80089999997,3.455582740235058,0
582,Germany,1,32,1,88938.62,1,1,1,10054.53,0,106828.37839999999,8.844747119246822,0
785,Germany,0,36,2,99806.85,1,0,1,36976.52,0,107319.05149999999,2.6991223316220236,1
605,Spain,1,33,5,150092.8,1,0,0,71862.79,0,133250.55250000002,2.0885733969778104,0
479,Germany,1,35,9,92833.89,1,1,0,99449.86,1,108674.98330000002,0.9334649293128284,0
685,Germany,1,30,3,90536.81,1,0,1,63082.88,0,105928.46169999999,1.4351813807267404,0
538,Germany,1,39,7,108055.1,2,1,0,27231.26,0,119676.56600000002,3.9679079150977556,0
562,France,1,42,2,100238.35,1,0,0,86797.41,0,115267.85410000003,1.1548408548036768,0
675,Spain,1,36,9,106190.55,1,0,1,22994.32,0,114008.69799999999,4.617920081129552,0
721,Germany,1,28,9,154475.54,2,0,1,101300.94,1,133779.72770000002,1.524902089732931,1
628,Germany,0,30,9,132351.29,2,1,1,74169.13,0,128095.58729999998,1.7844284484872819,0
668,Germany,0,37,6,167864.4,1,1,0,115638.29,0,141196.43430000002,1.4516208115771032,0
506,France,0,41,1,0.0,2,1,0,31766.3,0,635.6202,0.0,0
524,Germany,0,31,8,107818.63,1,1,0,199725.39,1,116786.74459999999,0.5398316667116448,0
699,Germany,1,34,4,185173.81,2,1,0,120834.48,0,148227.67270000002,1.5324456856545776,0
828,France,1,34,8,129433.34,2,0,0,38131.77,0,123674.80279999999,3.3942810868447273,1
674,Spain,1,39,6,120193.42,1,0,0,100130.95,0,117195.46919999998,1.200350337729366,0
656,France,0,39,6,0.0,2,1,0,141069.88,0,0.0,0.0,0
684,Germany,0,48,10,126384.42,1,1,1,198129.36,0,122545.15870000001,0.6378851782230649,0
625,France,0,28,3,0.0,1,0,0,183646.41,0,10843.0431,0.0,0
432,France,1,42,9,152603.45,1,1,0,110265.24,1,126957.49600000001,1.3839544179614722,0
549,France,0,52,1,0.0,1,0,1,8636.05,1,19396.3207,0.0,0
625,Germany,1,56,0,148507.24,1,1,0,46824.08,1,128177.86880000003,3.171532008060637,0
828,France,0,41,7,0.0,2,1,0,171378.77,0,0.0,0.0,1
770,France,1,24,9,101827.07,1,1,0,167256.35,0,117063.3774,0.608804755067565,1
758,France,0,34,3,0.0,2,1,1,124226.16,0,0.0,0.0,1
795,Germany,0,33,9,130862.43,1,1,1,114935.21,0,122434.24440000001,1.1385657313739508,1
687,France,1,38,9,122570.87,1,1,1,35608.88,0,126153.4453,3.4420467016457232,0
686,France,1,25,1,0.0,2,0,1,16459.37,0,0.0,0.0,0
789,Germany,1,39,7,124828.46,2,1,1,124411.08,0,122982.44350000004,1.0033467811164318,1
589,Germany,0,50,5,144895.05,2,1,1,34941.23,0,127791.0486,4.146703000924669,0
461,Germany,0,34,5,63663.93,1,0,1,167784.28,0,90921.54889999997,0.3794369208073557,0
637,France,1,40,2,133463.1,1,0,1,93165.34,0,129078.67479999998,1.432524879693675,0
584,Spain,0,48,2,213146.2,1,1,0,75161.25,1,153864.356,2.8358145212523573,0
579,Spain,0,35,1,129490.36,2,0,1,8590.83,1,123085.44190000003,15.071336374206659,0
756,Germany,1,44,10,137452.09,1,1,0,189543.9,0,123201.37199999999,0.7251690232762791,1
663,France,1,34,7,0.0,2,1,1,180427.24,0,515.825,0.0,0
682,France,0,43,5,125851.93,1,1,1,193318.33,0,122120.32830000002,0.6510054116161069,0
793,Spain,1,52,2,0.0,1,1,0,159123.82,1,26265.950299999997,0.0,1
691,France,0,31,5,40915.55,1,1,0,126213.84,1,46315.48730000001,0.3241738451674938,0
485,Spain,0,21,5,113157.22,1,1,1,54141.5,0,123545.35359999999,2.089988825783811,0
635,Spain,0,29,8,138296.94,2,1,0,141075.51,0,125363.6816,0.9802974286789486,0
650,France,1,37,5,106967.18,1,0,0,24495.03,0,114079.7767,4.366714932991183,0
735,France,1,44,9,120681.63,1,1,0,74836.34,0,123237.16290000001,1.6125857760310562,1
416,France,1,32,0,0.0,2,0,1,878.87,0,6984.3989,0.0,0
754,Spain,0,32,7,0.0,2,1,0,89520.75,0,142.628,0.0,1
535,France,0,48,9,0.0,1,1,0,149892.79,1,13407.121600000002,0.0,0
716,Spain,1,42,8,0.0,2,1,0,180800.42,0,0.0,0.0,1
539,France,1,37,2,127609.59,1,1,0,98646.22,0,124386.6557,1.293595399850092,0
614,France,0,43,6,0.0,2,1,1,109041.53,0,0.0,0.0,0
706,Spain,1,57,7,0.0,1,1,0,17941.16,1,31836.058000000005,0.0,1
758,France,0,33,7,0.0,2,0,0,82996.47,0,0.0,0.0,1
586,Spain,0,28,2,0.0,2,1,1,92067.35,0,519.4995,0.0,0
646,France,0,73,6,97259.25,1,0,1,104719.66,0,110005.3913,0.9287493986382438,0
631,Germany,0,33,4,123246.7,1,0,0,112687.57,0,119322.69179999997,1.0936929983227224,0
717,Spain,0,22,6,101060.25,1,0,1,84699.56,0,113109.8808,1.1931473652594504,1
684,France,1,30,2,0.0,2,1,0,83473.82,0,0.0,0.0,0
800,France,0,49,7,108007.36,1,0,0,47125.11,0,120546.07309999998,2.291879384909979,1
721,Spain,0,36,2,0.0,2,1,1,106977.8,0,558.5333,0.0,1
683,Spain,1,29,0,133702.89,1,1,0,55582.54,1,124365.0883,2.4054403515860994,0
660,Germany,1,31,9,125189.75,2,1,1,139874.43,0,121550.10960000001,0.8950088661032177,0
704,Germany,0,24,7,113034.22,1,1,0,162503.48,1,113883.2541,0.6955760235040904,1
615,Spain,0,41,9,109013.23,1,1,0,196499.96,0,117004.4485,0.5547719970426608,0
667,Spain,0,39,2,0.0,2,1,0,40721.24,1,1495.4184,0.0,0
682,Germany,1,24,9,57929.81,2,0,0,53134.3,0,64670.2333,1.0902321055870579,0
484,France,0,29,4,130114.39,1,1,0,164017.89,0,121947.37279999997,0.7932890534742675,0
628,Germany,1,27,5,95826.49,2,1,0,155996.96,0,108172.79450000002,0.6142804046924717,0
480,Germany,1,44,10,129608.57,1,1,0,5472.7,1,124487.26140000002,23.6784204468641,0
578,France,1,30,4,169462.09,1,1,0,112187.11,0,141072.5151,1.5105173801394818,0
512,France,1,40,5,0.0,2,1,1,146457.83,0,923.8426999999999,0.0,0
484,Spain,0,35,7,133868.21,1,1,1,27286.1,0,126909.11009999999,4.905915615803805,0
510,France,0,30,0,0.0,2,1,1,130553.47,0,656.6778999999999,0.0,0
606,Germany,1,36,5,190479.48,2,0,0,179351.89,0,146732.5819,1.0620374168489841,0
597,Spain,0,40,8,101993.12,1,0,1,94774.12,0,107600.72110000001,1.0761592282869175,0
754,Germany,0,55,3,161608.81,1,1,0,8080.85,1,132066.6537,19.99651193724209,1
850,Spain,0,45,2,122311.21,1,1,1,19482.5,0,116767.09959999999,6.277681628044243,1
510,France,1,65,2,0.0,2,1,1,48071.61,0,9279.4355,0.0,0
778,Germany,0,45,1,162150.42,2,1,0,174531.27,0,128921.8318,0.929056958922267,1
636,France,1,42,2,0.0,2,1,1,55470.78,0,0.0,0.0,0
804,France,0,50,4,0.0,1,1,1,8546.87,1,15747.103500000001,0.0,1
514,France,1,32,8,0.0,2,1,0,95857.18,0,0.0,0.0,0
730,France,0,39,1,99010.67,1,1,0,194945.8,0,110546.80850000001,0.5078855872473926,1
525,Spain,0,37,0,0.0,1,0,1,131521.72,0,20762.172399999996,0.0,0
616,Spain,1,30,5,0.0,2,0,1,196108.51,0,401.69879999999995,0.0,0
687,Germany,0,34,7,111388.18,2,1,0,148564.76,0,115649.0543,0.7497567407187227,0
715,France,0,41,8,56214.85,2,0,0,92982.61,1,20654.0009,0.6045672995488129,1
512,France,0,36,3,84327.77,2,1,0,17675.36,0,80293.2437,4.770652442018606,0
479,France,1,40,1,0.0,2,0,0,114996.43,0,923.8426999999999,0.0,0
601,France,1,32,8,93012.89,1,1,0,86957.42,0,108979.80129999999,1.0696248850887586,0
580,Spain,1,29,9,61710.44,2,1,0,128077.8,0,39395.1611,0.48181619440531925,0
807,France,1,35,3,174790.15,1,1,1,600.36,0,140096.5535,290.65809165890647,1
616,Spain,0,32,6,0.0,2,1,1,43001.46,0,142.628,0.0,0
721,Germany,1,37,3,107720.64,1,1,1,158591.12,0,115004.20349999997,0.6792307209210647,1
501,France,1,57,10,0.0,2,1,1,47847.19,0,6673.446599999999,0.0,0
521,France,1,35,6,96423.84,1,1,0,10488.44,0,110484.8046,9.192467853383974,0
850,Spain,1,30,2,141040.01,1,1,1,5978.2,0,120460.84790000001,23.588441597538136,1
759,France,1,42,4,105420.18,1,0,1,121409.06,0,114431.7462,0.8682985577966109,1
516,Spain,1,50,5,0.0,1,0,1,146145.93,1,15845.5853,0.0,0
711,France,0,38,2,129022.06,2,1,1,14374.86,1,127375.25790000001,8.974910718384848,1
512,Spain,1,33,3,176666.62,1,1,0,94670.77,0,139367.81579999998,1.8660960917916714,0
550,France,1,37,3,0.0,1,1,1,179670.31,0,12658.669900000003,0.0,0
608,Spain,0,41,3,89763.84,1,0,0,199304.74,1,105432.54769999998,0.45038261316507994,0
618,France,1,34,5,134954.53,1,1,1,151954.39,0,125528.82440000001,0.8881194013585171,0
643,France,1,45,5,0.0,1,1,0,142513.5,1,4735.3626,0.0,0
671,France,1,45,2,106376.85,1,0,1,158264.62,0,112398.16870000001,0.6721412395187282,0
689,Germany,1,33,2,161814.64,2,1,0,169381.9,0,135143.7837,0.9553186301568813,0
603,France,1,31,8,0.0,2,1,1,169915.02,0,0.0,0.0,0
620,France,0,41,9,0.0,2,0,0,88852.47,0,0.0,0.0,0
676,France,0,34,1,63095.01,1,1,1,40645.81,0,82445.8248,1.5522745819413628,0
572,Germany,1,26,4,118287.01,2,0,0,60427.3,0,116328.3051,1.9574770430410915,0
668,Germany,1,47,7,106854.21,1,0,1,157959.02,1,116540.3157,0.676463639343677,0
695,France,1,46,7,49512.55,1,1,0,133007.34,0,49107.3272,0.3722514693439524,0
730,Spain,0,33,9,0.0,2,0,0,176576.62,0,1197.4407,0.0,1
807,France,1,43,1,105799.32,2,1,0,34888.04,1,116084.978,3.032451451802629,1
592,France,1,54,8,0.0,1,1,1,28737.71,1,15827.825199999997,0.0,0
726,France,0,31,9,114722.05,2,1,1,98178.57,0,119925.0571,1.1684920803788406,1
514,Spain,1,30,7,0.0,1,0,1,125010.24,0,22768.6855,0.0,0
567,France,1,42,2,0.0,2,1,1,167984.61,0,335.6395,0.0,0
850,France,1,33,10,0.0,1,1,0,4861.72,1,20240.5405,0.0,1
671,Germany,1,45,6,99564.22,1,1,1,108872.45,1,112301.07059999999,0.9144949480337033,0
670,France,1,37,4,170557.91,2,1,0,198252.88,0,136172.21860000002,0.8603004894532202,0
694,France,0,30,9,0.0,2,1,1,26960.31,0,519.6291,0.0,0
547,Germany,0,39,6,74596.15,3,1,1,85746.52,1,87729.9377,0.8699511076238705,0
751,Germany,1,50,2,96888.39,1,1,0,77206.25,1,110804.65350000003,1.2549131072535287,1
594,Germany,0,29,3,130830.22,1,1,0,61048.53,0,124468.38170000001,2.1430176448532854,0
673,France,1,72,1,0.0,2,0,1,111981.19,0,9571.6832,0.0,0
610,France,1,40,0,0.0,2,1,0,62232.6,0,0.0,0.0,0
512,France,0,37,1,0.0,2,0,1,156105.03,0,1580.5206,0.0,0
767,Germany,1,20,3,119714.25,2,0,1,150135.38,0,116702.86959999999,0.7973700311676624,1
585,France,0,67,5,113978.97,2,0,1,93146.11,0,112564.2981,1.2236447271418298,0
763,Germany,1,42,6,100160.75,1,1,0,33462.94,1,114257.4153,2.9930949553459634,1
712,France,0,29,2,0.0,1,1,1,144375.0,0,12506.719000000001,0.0,1
539,Germany,0,43,3,116220.5,3,1,0,55803.96,1,119710.82260000001,2.082619537761518,0
668,France,0,46,2,0.0,3,1,0,89048.46,1,4288.5937,0.0,0
703,France,1,28,2,81173.83,2,0,1,162812.16,0,82855.55489999999,0.49857044725377236,1
662,Spain,1,38,4,0.0,2,1,0,136259.65,0,0.0,0.0,0
725,Germany,0,39,5,116803.8,1,1,0,124052.97,0,114876.0237,0.9415563242353309,1
703,France,1,37,8,105961.68,2,0,1,74158.8,0,112411.284,1.4288290960870982,1
659,Germany,1,67,6,117411.6,1,1,1,45071.09,1,119471.20899999999,2.604973499121075,0
523,Spain,1,34,7,0.0,2,1,0,62030.06,0,732.1111999999999,0.0,0
635,France,0,40,10,123497.58,1,1,0,131953.23,1,121849.0239,0.9359122477543917,0
772,Germany,1,26,7,152400.51,2,1,0,79414.0,0,130686.66890000002,1.9190393502486938,1
545,France,0,26,1,0.0,2,1,1,199638.56,0,1546.3109999999997,0.0,0
634,Germany,1,24,8,103097.85,1,1,1,157577.29,0,112094.33859999999,0.6542643025254303,0
739,Germany,1,54,8,126418.14,1,1,0,134420.75,1,121151.755,0.9404589659039553,1
771,Germany,0,36,5,77846.9,1,0,0,99805.99,0,100107.47129999999,0.7799744286447271,1
587,Spain,0,34,1,0.0,2,1,1,97932.68,0,519.4995,0.0,0
681,France,0,79,0,0.0,2,0,1,170968.99,0,19245.294299999998,0.0,0
544,Germany,1,37,2,79731.91,1,1,1,57558.95,0,103580.619,1.385197693882639,0
696,Spain,1,28,8,0.0,1,0,0,176713.47,0,24953.1846,0.0,0
766,Spain,1,41,0,0.0,2,0,1,34283.23,0,2232.8367000000003,0.0,1
727,France,1,34,10,0.0,2,1,1,198637.34,0,395.3939,0.0,1
671,Germany,0,34,6,37266.67,2,0,0,156917.12,0,34028.4521,0.23749118329992738,0
693,France,0,30,6,127992.25,1,1,1,50457.2,0,126410.65629999999,2.5365996012541077,0
850,Germany,1,38,3,54901.01,1,1,1,140075.55,0,85038.82710000001,0.39193576655050405,1
732,Germany,1,42,9,108748.08,2,1,1,65323.11,0,113793.66610000002,1.6647464466029465,1
726,Spain,0,48,6,99906.19,1,1,0,64323.24,0,107721.19850000001,1.5531654940656898,1
557,France,0,32,6,184686.41,2,1,0,14956.44,0,139030.08380000002,12.347461196568396,0
682,France,0,26,0,110654.02,1,0,1,111879.21,0,112517.19650000002,0.9890401528563452,0
738,Spain,1,31,9,79019.8,1,1,1,18606.23,0,100271.759,4.246725600747666,1
531,Spain,0,36,9,99240.51,1,1,0,123137.01,0,111292.56019999999,0.8059291359345502,0
498,France,1,34,2,0.0,2,1,1,148528.24,0,923.8426999999999,0.0,0
651,France,1,36,7,0.0,2,1,0,13898.31,0,0.0,0.0,0
549,Spain,0,39,7,0.0,1,0,0,81259.25,1,17613.5766,0.0,0
791,Germany,0,35,7,52436.2,1,1,0,161051.75,0,83571.3822,0.3255840089660065,1
650,Spain,1,41,9,0.0,2,0,1,191599.67,0,0.0,0.0,0
733,Germany,1,34,3,100337.96,3,1,0,48559.19,1,114134.16950000002,2.066259625425683,1
811,Germany,0,34,1,149297.19,2,1,1,186339.74,0,127010.8786,0.8012053080823872,1
707,France,1,30,8,0.0,2,1,0,33159.37,0,0.0,0.0,1
712,Germany,1,28,4,145605.44,1,0,1,93883.53,0,127986.5015,1.5508991736977327,1
706,Spain,0,37,7,0.0,2,1,1,110899.3,0,142.628,0.0,1
756,France,1,62,3,0.0,1,1,1,11199.04,1,21106.210099999997,0.0,1
777,France,0,53,10,0.0,2,1,0,189992.97,0,3287.7082,0.0,1
646,France,1,35,6,84026.86,1,0,1,164255.69,0,103716.30650000002,0.5115582202466152,0
714,France,1,46,1,0.0,1,1,0,152167.79,1,8057.786899999999,0.0,1
782,France,1,39,8,0.0,2,1,1,33949.67,0,0.0,0.0,1
775,Spain,1,29,10,0.0,2,1,1,68143.93,0,2881.6816,0.0,1
479,Germany,1,35,4,138718.92,1,1,1,47251.79,1,127479.29239999998,2.935676814003999,0
807,France,1,42,7,118274.71,1,1,1,25885.72,0,126057.8165,4.568933800805973,1
799,France,0,22,8,174185.98,2,0,1,192633.85,0,132691.69239999997,0.9042288038742731,1
675,France,1,40,7,113208.86,2,1,0,34577.36,0,114766.8282,3.2739800268144585,0
602,Spain,1,29,5,103907.28,1,1,0,161229.84,0,112093.76,0.6444628087281565,0
475,France,0,32,8,119023.28,1,1,0,100816.29,0,119686.72429999997,1.1805840049856529,0
744,Spain,0,26,5,166297.89,1,1,1,181694.44,0,133366.75000000003,0.9152562662001865,1
588,Spain,1,34,10,0.0,2,1,0,79078.91,0,1491.8436,0.0,0
703,Germany,1,42,9,63227.0,1,0,1,137316.32,0,94085.37950000001,0.46044446541776374,1
747,Spain,0,41,5,94521.17,2,1,0,194926.86,0,105813.00599999998,0.4849033380862028,1
583,France,1,27,7,0.0,2,1,0,51285.49,0,0.0,0.0,0
750,Spain,0,34,9,112822.26,1,0,0,150401.53,1,115780.98040000001,0.750135386685317,1
681,France,1,38,3,0.0,2,1,1,112491.96,0,0.0,0.0,0
773,France,1,25,2,135903.33,1,1,0,73656.38,0,125390.30919999997,1.8450741799396067,1
714,France,0,31,4,125169.26,1,1,1,106636.89,0,121403.95449999999,1.173778475924458,1
687,Spain,0,44,7,0.0,3,1,0,155853.52,1,6162.9149,0.0,0
511,France,1,58,0,149117.31,1,1,1,162599.51,0,126565.69659999998,0.917077750863143,0
627,France,1,33,5,0.0,2,1,1,103737.82,0,0.0,0.0,0
694,France,0,31,10,0.0,2,1,0,160990.27,0,395.3939,0.0,0
616,Spain,0,36,6,132311.71,1,0,0,15462.84,0,125326.3754,8.556200141750043,0
687,France,1,35,8,0.0,2,1,0,10334.05,0,0.0,0.0,0
712,France,0,33,6,0.0,2,1,1,190686.16,0,0.0,0.0,1
553,France,1,33,4,118082.89,1,0,0,94440.45,0,118589.78210000001,1.250329066315691,0
667,France,1,31,1,119266.69,1,1,1,28257.63,0,119694.65479999999,4.22054041544123,0
731,France,1,43,2,0.0,1,1,1,170034.95,1,8958.724800000002,0.0,1
629,Germany,1,35,7,156847.29,2,1,0,31824.29,0,131166.8459,4.9283852558766945,0
614,France,1,50,4,137104.47,1,1,0,127166.49,1,132057.9576,1.0781408833342547,0
438,Germany,1,31,8,78398.69,1,1,0,44937.01,0,107297.11480000002,1.7445963895597514,0
652,France,0,80,4,0.0,2,1,1,188603.07,0,15548.471400000002,0.0,0
729,Germany,1,30,6,63669.42,1,1,0,145111.37,0,93594.84599999998,0.4387594248512377,1
642,France,1,38,3,0.0,2,0,0,171463.83,0,0.0,0.0,0
